# The portion FNDDS calls typical for each food, in grams. Generated by
# tools/TypicalPortionQuery. Do not edit by hand.
# Source: "stated" is the catalogue's own Quantity-not-specified amount;
# "median" is the middle of the portions it does list, for foods with no default.
# The grade is NOT computed on this. A letter is per 100 g and does not move with
# how much was eaten (ComponentStrategy). This is what the product shows beside it.
FdcId,Grams,Source,Description
2705630,135,stated,"Ice cream, vanilla"
2705631,140,stated,"Ice cream, vanilla, with additional ingredients"
2705632,135,stated,"Ice cream, chocolate"
2705633,140,stated,"Ice cream, chocolate, with additional ingredients"
2705634,175,stated,"Ice cream, soft serve, vanilla"
2705635,175,stated,"Ice cream, soft serve, chocolate"
2705636,175,stated,"Gelato, vanilla"
2705637,175,stated,"Gelato, chocolate"
2705638,85,stated,"Ice cream bar, vanilla"
2705639,85,stated,"Ice cream bar, vanilla, chocolate coated"
2705640,50,stated,"Ice cream candy bar"
2705641,85,stated,"Ice cream bar, chocolate"
2705642,75,stated,"Ice cream sandwich, vanilla"
2705643,75,stated,"Ice cream sandwich, chocolate"
2705644,75,stated,"Ice cream cookie sandwich"
2705645,125,stated,"Ice cream cone, scooped, vanilla"
2705646,255,stated,"Ice cream cone, scooped, vanilla, waffle cone"
2705647,125,stated,"Ice cream cone, NFS"
2705648,125,stated,"Ice cream cone, scooped, chocolate"
2705649,255,stated,"Ice cream cone, scooped, chocolate, waffle cone"
2705650,125,stated,"Ice cream cone, soft serve, vanilla"
2705651,125,stated,"Ice cream cone, soft serve, chocolate"
2705652,255,stated,"Ice cream cone, soft serve, vanilla, waffle cone"
2705653,255,stated,"Ice cream cone, soft serve, chocolate, waffle cone"
2705654,95,stated,"Ice cream cone, vanilla, prepackaged"
2705655,95,stated,"Ice cream cone, chocolate, prepackaged"
2705656,240,stated,"Ice cream soda, flavors other than chocolate"
2705657,240,stated,"Ice cream soda, chocolate"
2705658,180,stated,"Ice cream sundae, NFS"
2705659,180,stated,"Ice cream sundae, fruit topping"
2705660,490,stated,"Banana split"
2705661,180,stated,"Ice cream sundae, hot fudge topping"
2705662,180,stated,"Ice cream sundae, caramel topping"
2705663,135,stated,"Ice cream, fried"
2705664,135,stated,"Light ice cream, NFS"
2705665,135,stated,"Light ice cream, vanilla"
2705666,135,stated,"Light ice cream, chocolate"
2705667,215,stated,"Soft serve, blended with candy or cookies, from fast food"
2705668,75,stated,"Light ice cream sandwich, vanilla"
2705669,75,stated,"Light ice cream sandwich, chocolate"
2705670,85,stated,"Light ice cream bar, vanilla"
2705671,85,stated,"Light ice cream bar, vanilla, chocolate coated"
2705672,85,stated,"Light ice cream bar, chocolate"
2705673,65,stated,"Creamsicle"
2705674,65,stated,"Fudgesicle"
2705675,95,stated,"Light ice cream cone, vanilla, prepackaged"
2705676,95,stated,"Light ice cream cone, chocolate, prepackaged"
2705677,175,stated,"Sherbet, all flavors"
2705678,45,stated,"Fudgesicle, light"
2705679,130,stated,"Pudding, chocolate, NFS"
2705680,100,stated,"Pudding, bread"
2705681,130,stated,"Pudding, flavors other than chocolate, NFS"
2705682,130,stated,"Custard"
2705683,130,stated,"Flan"
2705684,130,stated,"Creme brulee"
2705685,130,stated,"Pudding, rice"
2705686,130,stated,"Firni, Indian pudding"
2705687,130,stated,"Pudding, tapioca, made from dry mix"
2705688,130,stated,"Pudding, flavors other than chocolate, made from dry mix"
2705689,130,stated,"Pudding, chocolate, made from dry mix"
2705690,130,stated,"Pudding, flavors other than chocolate, made from dry mix, sugar free"
2705691,130,stated,"Pudding, chocolate, made from dry mix, sugar free"
2705692,130,stated,"Pudding, flavors other than chocolate, ready-to-eat"
2705693,130,stated,"Pudding, flavors other than chocolate, ready-to-eat, sugar free"
2705694,130,stated,"Pudding, chocolate, ready-to-eat"
2705695,130,stated,"Pudding, chocolate, ready-to-eat, sugar free"
2705696,130,stated,"Pudding, tapioca, ready-to-eat"
2705697,130,stated,"Banana pudding"
2705698,85,stated,"Mousse"
2705699,150,stated,"Dulce de leche"
2705700,45,stated,"Barfi or Burfi, Indian dessert"
2705701,73,stated,"Trifle"
2705702,175,stated,"Tiramisu"
2705703,60,stated,"White sauce or gravy"
2705704,21,stated,"Cheese, NFS"
2705705,21,stated,"Cheese, Blue or Roquefort"
2705706,21,stated,"Cheese, Brick"
2705707,21,stated,"Cheese, Camembert"
